Clapeyron Database File
tc-PR; twu alpha Parameters [csvtype = like]
species,L,M,N
"""[3-(2,3-EPOXYPROXY)PROPYL]TRIMETHOXYSILANE""",0.2675,0.7992,3.48
"""1,1,1,2,2-PENTAFLUOROPROPANE""",0.1627,0.8377,2.7582
"""1,1,1,2,3,3,3-HEPTAFLUOROPROPANE""",0.1596,0.8289,2.9252
"""1,1,1,2,3,3-HEXAFLUOROPROPANE""",0.1966,0.8237,2.6863
"""1,1,1,2-TETRACHLORODIFLUOROETHANE""",0.0898,0.8282,2.94
"""1,1,1,2-TETRACHLOROETHANE""",0.1366,0.8419,2.6846
"""1,1,1,2-TETRAFLUOROETHANE""",0.2292,0.85,2.5499
"""1,1,1,3,3,3-HEXAFLUOROPROPANE""",0.2589,0.7918,2.2149
"""1,1,1,3,3-PENTAFLUOROBUTANE""",0.0,0.8001,3.243
"""1,1,1,3,3-PENTAFLUOROPROPANE""",0.1279,0.8088,3.0119
"""1,1,1-TRICHLOROETHANE""",0.1375,0.8479,2.5836
"""1,1,1-TRICHLOROTRIFLUOROETHANE""",0.289,0.8777,2.1579
"""1,1,1-TRIFLUOROETHANE""",0.2037,0.856,2.4558
"""1,1,2,2,3-PENTAFLUOROPROPANE""",0.1801,0.8326,2.8117
"""1,1,2,2-TETRACHLOROETHANE""",0.0,0.478,1.2128
"""1,1,2,2-TETRAFLUOROETHANE""",0.4404,0.9219,1.686
"""1,1,2-TRICHLOROETHANE""",0.1782,0.8156,2.2405
"""1,1,2-TRICHLOROTRIFLUOROETHANE""",0.4748,0.8383,1.3183
"""1,1,2-TRIFLUOROETHANE""",1.3649,0.9965,0.5916
"""1,1,2-TRIMETHYLCYCLOPENTANE""",0.1368,0.8299,2.5858
"""1,1,3-TRIMETHYLCYCLOHEXANE""",0.1821,0.8474,2.5913
"""1,1,3-TRIMETHYLCYCLOPENTANE""",1.2812,0.5682,0.5311
"""1,1-DIBROMOETHANE""",0.324,0.0001,0.5191
"""1,1-DICHLORO-1-FLUOROETHANE""",0.1612,0.8529,2.5034
"""1,1-DICHLOROETHANE""",0.2434,0.82,1.8645
"""1,1-DICHLOROETHYLENE""",0.2439,0.8688,2.2729
"""1,1-DICHLOROPROPANE""",0.3351,0.802,1.551
"""1,1-DICHLOROTETRAFLUOROETHANE""",0.1794,0.8513,2.5283
"""1,1-DIETHYLCYCLOHEXANE""",0.1329,0.856,2.4556
"""1,1-DIFLUOROETHANE""",0.2777,0.8731,2.2163
"""1,1-DIFLUOROETHYLENE""",0.0679,0.8447,2.6371
"""1,1-DIMETHOXYETHANE""",0.1447,0.8299,2.9049
"""1,1-DIMETHYLCYCLOHEXANE""",1.3819,1.0,0.4905
"""1,1-DIMETHYLCYCLOPENTANE""",0.2423,0.8447,2.1649
"""1,1-DIPHENYLETHANE""",1.3207,0.9938,0.75
"""1,2,3,4-TETRAHYDRONAPHTHALENE""",0.3071,0.8304,2.0408
"""1,2,3,4-TETRAMETHYLBENZENE""",0.3274,0.8571,2.4401
"""1,2,3,4-TETRAMETHYLCYCLOHEXANE""",0.8588,0.8772,2.1639
"""1,2,3,5-TETRAETHYLBENZENE""",0.5284,0.8453,1.5203
"""1,2,3,5-TETRAMETHYLBENZENE""",0.4246,0.8455,1.9695
"""1,2,3,6-TETRAHYDROBENZALDEHYDE""",0.9066,0.8679,1.2287
"""1,2,3-TRICHLOROBENZENE""",0.5134,0.8535,1.9598
"""1,2,3-TRICHLOROPROPANE""",1.6115,1.0,0.4701
"""1,2,3-TRIETHYLBENZENE""",1.0192,0.7835,0.5922
"""1,2,3-TRIMETHYL-4-ETHYLBENZENE""",0.2176,0.8147,2.8422
"""1,2,3-TRIMETHYLBENZENE""",0.4031,0.8452,1.8604
"""1,2,4,5-TETRAMETHYLBENZENE""",0.7669,0.9008,1.2474
"""1,2,4-TRICHLOROBENZENE""",0.6029,0.8306,1.2936
"""1,2,4-TRIETHYLBENZENE""",2.0296,0.9993,0.291
"""1,2,4-TRIMETHYL-3-ETHYLBENZENE""",0.4164,0.8721,2.2298
"""1,2,4-TRIMETHYL-5-ETHYLBENZENE""",0.2436,0.8315,2.8749
"""1,2,4-TRIMETHYLBENZENE""",0.2987,0.8422,2.3166
"""1,2-BUTADIENE""",1.1644,0.7457,0.5078
"""1,2-DIBROMOETHANE""",1.2779,0.9998,0.5019
"""1,2-DIBROMOTETRAFLUOROETHANE""",0.132,0.8411,2.6976
"""1,2-DICHLORO-1,1,2-TRIFLUOROETHANE""",0.1638,0.8497,2.5537
"""1,2-DICHLOROBUTANE""",0.1911,0.8456,2.6211
"""1,2-DICHLOROETHANE""",0.2197,0.8566,2.4465
"""1,2-DICHLOROPROPANE""",0.2978,0.8289,1.7859
"""1,2-DICHLOROTETRAFLUOROETHANE""",0.1492,0.8439,2.6505
"""1,2-DIETHOXYETHANE""",0.1261,0.809,3.3672
"""1,2-DIMETHOXYETHANE""",0.3453,0.7852,1.7503
"""1,2-DIMETHOXYPROPANE""",0.164,0.8304,2.8962
"""1,2-DIPHENYLETHANE""",0.2895,0.8378,2.7567
"""1,2-EPOXY-3-PHENOXYPROPANE""",0.3096,0.8278,2.9476
"""1,2-EPOXYBUTANE""",0.6564,0.8139,0.9566
"""1,2-PENTADIENE""",0.4824,0.0,0.5328
"""1,2-PROPANEDIAMINE""",1.1405,0.9966,0.9092
"""1,2-PROPYLENE OXIDE""",0.2333,0.8509,2.2533
"""1,3,5,7-CYCLOOCTATETRAENE""",0.2695,0.7873,1.5749
